canonical_handle,canonical_handle_source,liquipedia_page_title,liquipedia_url,resolution_status,resolution_confidence,account_ids,steam_ids,observed_names,liquipedia_handles,legal_names,romanized_names,tournament_count,tournaments,resolution_evidence,scope_role,primary_tournaments,supplemental_tournaments
Net,liquipedia_player_infobox.id,Net (player),https://liquipedia.net/dota2/Net_(player),resolved_with_player_page_and_ids,high,89249333,76561198049515061 (derived),Net,Net | Net (player),林伟斌,Lim Wai Pern,5,The International 2011 | The Defense Season 1 | Malaysia Invitational | The Premier League Season 1 | WCG Asian Championship 2011,player_page_infobox | teamcard_link | player_page_account_id,primary_with_supplemental,The Defense Season 1 | Malaysia Invitational | The Premier League Season 1 | WCG Asian Championship 2011,The International 2011
Nexius,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Nexius,,,,2,Dota2 Star Championship | joinDOTA Masters I,observed_name_only,primary_with_supplemental,joinDOTA Masters I,Dota2 Star Championship
Nick,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Nick,,,,1,Malaysia Invitational,observed_name_only,primary_only,Malaysia Invitational,
Nicxh,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Nicxh,,,,1,Electronic Sports World Cup 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011,
Ninpou,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Ninpou,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
Niqua,liquipedia_player_infobox.id,Niqua,https://liquipedia.net/dota2/Niqua,resolved_with_player_page_and_ids,high,25175582,76561197985441310 (derived),Niqua,Niqua,Niclas Westergård,,1,joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_only,joinDOTA Masters I,
nix,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,nix,,,,1,DreamHack Winter 2011,teamcard_link | observed_name_only,primary_only,DreamHack Winter 2011,
noertti,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,54662003,76561198014927731 (derived),noertti,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
NoLove,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,NoLove,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
Nookie,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Nookie,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
Norrie,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Norrie,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
NS,liquipedia_player_infobox.id,NS,https://liquipedia.net/dota2/NS,resolved_with_player_page_and_ids,high,93712171,76561198053977899 (derived),NS,NS,Ярослав Владимирович Кузнецов,Yaroslav Kuznetsov,4,The International 2011 | Electronic Sports World Cup 2011 | Dota2 Star Championship | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | StarLadder StarSeries Season 1,The International 2011 | Dota2 Star Championship
NutZ,liquipedia_player_infobox.id,NutZ,https://liquipedia.net/dota2/NutZ,resolved_with_player_page_and_ids,high,89603649,76561198049869377 (derived),Warnutz | NutZ,NutZ | Warnutz,,Wong Jeng Yih,2,WCG Asian Championship 2011 | Razer Dota 2 Tournament,player_page_infobox | player_page_account_id,primary_only,WCG Asian Championship 2011 | Razer Dota 2 Tournament,
Olich,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Olich,,,,2,Electronic Sports World Cup 2011 | DreamHack Winter 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011 | DreamHack Winter 2011,
Pajkatt,liquipedia_player_infobox.id,Pajkatt,https://liquipedia.net/dota2/Pajkatt,resolved_with_player_page_and_ids,high,87285329,76561198047551057 (derived),Pajkatt,Pajkatt,Per Anders Olsson Lille,,6,The International 2011 | The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl | StarLadder StarSeries Season 1 | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl | StarLadder StarSeries Season 1 | joinDOTA Masters I,The International 2011
paS,liquipedia_player_infobox.id,PaS,https://liquipedia.net/dota2/PaS,resolved_with_player_page_and_ids,high,31078647,76561197991344375 (derived),paS,paS | PaS,Pascal Lohmeier,,1,The Defense Season 1,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1,
PCT,liquipedia_player_infobox.id,PCT,https://liquipedia.net/dota2/PCT,resolved_with_player_page_and_ids,high,89427480,76561198049693208 (derived),PCT,PCT | Cupid_Cat,,Zhang Miaolong,4,Electronic Sports World Cup 2011 | WCG Asian Championship 2011 | The Defense Season 1 | The Premier League Season 1,player_page_infobox | player_page_account_id,primary_only,Electronic Sports World Cup 2011 | WCG Asian Championship 2011 | The Defense Season 1 | The Premier League Season 1,
Pepp3,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,17374868,76561197977640596 (derived),Pepp3 | pepp3,,,,2,The Defense Season 1 | DreamHack Winter 2011,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1 | DreamHack Winter 2011,
PGG,liquipedia_player_infobox.id,PGG,https://liquipedia.net/dota2/PGG,resolved_with_player_page_and_ids,high,87565571,76561198047831299 (derived),PGG,PGG | plzgogame,Владимир Аносов,Vladimir Anosov,3,Electronic Sports World Cup 2011 | Dota2 Star Championship | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | StarLadder StarSeries Season 1,Dota2 Star Championship
Ph0eNiiX,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,87291311,76561198047557039 (derived),Ph0eNiiX,,,,4,Electronic Sports World Cup 2011 | DreamHack Winter 2011 | Dota2 Star Championship | JeeDota2 Championship #1,teamcard_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | DreamHack Winter 2011 | JeeDota2 Championship #1,Dota2 Star Championship
Ph0eniX,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Ph0eniX | Ph0enix,,,,2,The International 2011 | The Defense Season 1,observed_name_only,primary_with_supplemental,The Defense Season 1,The International 2011
PhOeNiiX,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,PhOeNiiX,,,,1,joinDOTA Masters I,observed_name_only,primary_only,joinDOTA Masters I,
PiNoY,liquipedia_player_infobox.id,Pinoy,https://liquipedia.net/dota2/Pinoy,resolved_with_player_page_and_ids,high,34930858,76561197995196586 (derived),Pinoy | PiNoY,PiNoY | Pinoy,Alexander Pettersson,,4,The Defense Season 1 | The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1 | The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl,
PLEKK,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,21080193,76561197981345921 (derived),PLEKK,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
PowerNet,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,14429114,76561197974694842 (derived),PowerNet,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
PrettyHaw,liquipedia_player_infobox.id,PrettyHaw,https://liquipedia.net/dota2/PrettyHaw,resolved_with_player_page_and_ids,high,89166519,76561198049432247 (derived),PrettyHaw,PrettyHaw,赵嘉彬,Zhao Jiabin,1,The Premier League Season 1,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1,
profheadshot,liquipedia_player_infobox.id,Profheadshot,https://liquipedia.net/dota2/Profheadshot,resolved_with_player_page_and_ids,high,21918278,76561197982184006 (derived),profheadshot,profheadshot | Profheadshot,Martin Hála,,1,JeeDota2 Championship #1,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,JeeDota2 Championship #1,
Puppey,liquipedia_player_infobox.id,Puppey,https://liquipedia.net/dota2/Puppey,resolved_with_player_page_and_ids,high,87277951 | 87278757,76561198047543679 (derived) | 76561198047544485 (derived),Puppey,Puppey | Puppet)41(Hydra | ChAoS_hYdRa | PuppzER,Clement Ivanov,,6,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | Dota2 Star Championship | The Premier League Season 1 | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id | manual_override_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | The Premier League Season 1 | StarLadder StarSeries Season 1,The International 2011 | Dota2 Star Championship
PusHer-StrEet,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,PusHer-StrEet,,,,1,joinDOTA Masters I,observed_name_only,primary_only,joinDOTA Masters I,
Qoj,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Qoj,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
QQQ,liquipedia_player_infobox.id,QQQ,https://liquipedia.net/dota2/QQQ,resolved_with_player_page_and_ids,high,89399750,76561198049665478 (derived),QQQ | 357,QQQ | 357,姚羿,Yao Yi,6,The International 2011 | Electronic Sports World Cup 2011 | WCG Asian Championship 2011 | The Defense Season 1 | The Premier League Season 1 | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | WCG Asian Championship 2011 | The Defense Season 1 | The Premier League Season 1 | joinDOTA Masters IV,The International 2011
r1sk,liquipedia_player_infobox.id,R1sk,https://liquipedia.net/dota2/R1sk,resolved_with_player_page_and_ids,high,86802544,76561198047068272 (derived),r1sk,r1sk | R1sk,David Arnous,,4,The Defense Season 1 | The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1 | The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,
r5r5,liquipedia_player_infobox.id,R5r5,https://liquipedia.net/dota2/R5r5,resolved_with_player_page_and_ids,high,96886397,76561198057152125 (derived),r5r5,r5r5 | R5r5,Nattapong Petkong,,1,joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_only,joinDOTA Masters IV,
Raging Potato,liquipedia_player_infobox.id,Raging Potato,https://liquipedia.net/dota2/Raging_Potato,resolved_with_player_page_and_ids,high,793042450,76561198753308178 (derived),Bimbo | Jay,Raging Potato | Jay | Bimbo | raging-_-potato | ragingpotato | Raging-_-Potato,Ryan Jay Qui,,4,WCG Asian Championship 2011 | Malaysia Invitational | The Premier League Season 1 | Razer Dota 2 Tournament,player_page_infobox | player_page_account_id,primary_only,WCG Asian Championship 2011 | Malaysia Invitational | The Premier League Season 1 | Razer Dota 2 Tournament,
Reesion,liquipedia_player_infobox.id,Reesion,https://liquipedia.net/dota2/Reesion,resolved_with_player_page_and_ids,high,40602549,76561198000868277 (derived),Reesion,Reesion,David Siekas,,2,The Defense Season 1 | D2E Challenge,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1 | D2E Challenge,
Rexi,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Rexi,,,,4,The Defense Season 1 | Dota2 Star Championship | Dota2Replays Brawl | joinDOTA Masters I,observed_name_only,primary_with_supplemental,The Defense Season 1 | Dota2Replays Brawl | joinDOTA Masters I,Dota2 Star Championship
RMC,liquipedia_player_infobox.id,RMC,https://liquipedia.net/dota2/RMC,resolved_with_player_page_and_ids,high,86043086,76561198046308814 (derived),RMC,RMC,Philipp Pausewang,,1,joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_only,joinDOTA Masters I,
rmN-,liquipedia_player_infobox.id,RmN-,https://liquipedia.net/dota2/RmN-,resolved_with_player_page_and_ids,high,87197791,76561198047463519 (derived),rmN | rmN-,rmN- | rmN-. | RmN-,Roman Paley,,3,The International 2011 | The Defense Season 1 | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | joinDOTA Masters I,The International 2011
RONIN,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,RONIN,,,,2,Electronic Sports World Cup 2011 | D2E Challenge,observed_name_only,primary_only,Electronic Sports World Cup 2011 | D2E Challenge,
RR,liquipedia_player_infobox.id,RR,https://liquipedia.net/dota2/RR,resolved_with_player_page_and_ids,high,323792491,76561198284058219 (derived),rr | RR,RR | Rr^ | Vincenzo^ | vvvv!,Ralph Richard A. Peñano,,4,WCG Asian Championship 2011 | Malaysia Invitational | The Premier League Season 1 | Razer Dota 2 Tournament,player_page_infobox | player_page_account_id,primary_only,WCG Asian Championship 2011 | Malaysia Invitational | The Premier League Season 1 | Razer Dota 2 Tournament,
Ryze,liquipedia_player_infobox.id,Ryze,https://liquipedia.net/dota2/Ryze,resolved_with_player_page_and_ids,high,26682464,76561197986948192 (derived),Ryze,Ryze,Christoffer Borregaard Winther,,6,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1 | D2E Challenge,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1 | D2E Challenge,The International 2011
S0ny,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,45316897,76561198005582625 (derived),S0ny | s0ny,,,,3,The Defense Season 1 | The Premier League Season 1 | Infused Cup,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1 | The Premier League Season 1 | Infused Cup,
Saga,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,83431381,76561198043697109 (derived),Saga,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
Samael,liquipedia_player_infobox.id,Samael,https://liquipedia.net/dota2/Samael,resolved_with_player_page_and_ids,high,351218845,76561198311484573 (derived),Owa,Samael | 5593 | 716 | Owa,Joshua Dela Serna,,5,The International 2011 | WCG Asian Championship 2011 | Malaysia Invitational | The Premier League Season 1 | Razer Dota 2 Tournament,player_page_infobox | player_page_account_id,primary_with_supplemental,WCG Asian Championship 2011 | Malaysia Invitational | The Premier League Season 1 | Razer Dota 2 Tournament,The International 2011
Santa,liquipedia_player_infobox.id,Santa,https://liquipedia.net/dota2/Santa,resolved_with_player_page_and_ids,high,206742513,76561198167008241 (derived),Santa,Santa,Александр Колтан,Alexander Koltan,3,The International 2011 | Dota2 Star Championship | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,StarLadder StarSeries Season 1,The International 2011 | Dota2 Star Championship
scL,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,scL,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
seaking,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,seaking | Seaking,,,,2,The International 2011 | The Premier League Season 1,observed_name_only,primary_with_supplemental,The Premier League Season 1,The International 2011
SexyBamboe,liquipedia_player_infobox.id,SexyBamboe,https://liquipedia.net/dota2/SexyBamboe,resolved_with_player_page_and_ids,high,20321748,76561197980587476 (derived),SexyBamboe,SexyBamboe | Bamboe | kid,Alaan Faraj,,3,The Defense Season 1 | Dota2Replays Brawl | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1 | Dota2Replays Brawl | joinDOTA Masters I,
SG-,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,SG- | sG,,,,2,Dota2 Star Championship | Malaysia Invitational,observed_name_only,primary_with_supplemental,Malaysia Invitational,Dota2 Star Championship
Sharky,liquipedia_player_infobox.id,Sharky,https://liquipedia.net/dota2/Sharky,resolved_with_player_page_and_ids,high,89251386,76561198049517114 (derived),Sharky,Sharky,Raymond Wong Kie Yong,,5,The International 2011 | WCG Asian Championship 2011 | The Defense Season 1 | Malaysia Invitational | The Premier League Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,WCG Asian Championship 2011 | The Defense Season 1 | Malaysia Invitational | The Premier League Season 1,The International 2011
shatan,liquipedia_player_infobox.id,Shatan,https://liquipedia.net/dota2/Shatan,resolved_with_player_page_and_ids,high,34547465,76561197994813193 (derived),Shatan | shatan | blackshatan,shatan | blackshatan | Shatan,Alex Chang,,6,The Defense Season 1 | The Premier League Season 1 | Infused Cup | JeeDota2 Championship #1 | Dota2Replays Brawl | joinDOTA Masters IV,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,The Defense Season 1 | The Premier League Season 1 | Infused Cup | JeeDota2 Championship #1 | Dota2Replays Brawl | joinDOTA Masters IV,
Sierrar,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,53500487,76561198013766215 (derived),Sierrar,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
Silent,liquipedia_player_infobox.id,Silent,https://liquipedia.net/dota2/Silent,resolved_with_player_page_and_ids,high,89269794,76561198049535522 (derived),Silent,Silent | Silent <3 Mila,Айрат Газиев,Airat Gaziev,1,StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_only,StarLadder StarSeries Season 1,
SingSing,liquipedia_player_infobox.id,SingSing,https://liquipedia.net/dota2/SingSing,resolved_with_player_page_and_ids,high,19757254,76561197980022982 (derived),SingSing,SingSing | WehSing | beaverknight,Wehsing Yuen,,4,The Defense Season 1 | Dota2 Star Championship | Dota2Replays Brawl | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | Dota2Replays Brawl | joinDOTA Masters I,Dota2 Star Championship
SJQ,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,SJQ,,,,2,The International 2011 | The Premier League Season 1,observed_name_only,primary_with_supplemental,The Premier League Season 1,The International 2011
SJQ,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,SJQ,,,,1,joinDOTA Masters IV,teamcard_link | observed_name_only,primary_only,joinDOTA Masters IV,
Skilla,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Skilla,,,,1,joinDOTA Masters I,observed_name_only,primary_only,joinDOTA Masters I,
Smile,liquipedia_player_infobox.id,ARS-ART,https://liquipedia.net/dota2/ARS-ART,resolved_with_player_page_and_ids,high,89713365 | 107644273,76561198049979093 (derived) | 76561198067910001 (derived),Ars-Art | ARS-ART,Smile | ARS-ART | Cloudy | AA,Сергей Антонович Ревин,Sergey Revin,6,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | Dota2 Star Championship | The Premier League Season 1 | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id | manual_override_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | The Premier League Season 1 | StarLadder StarSeries Season 1,The International 2011 | Dota2 Star Championship
smulgullig,liquipedia_player_infobox.id,Smulgullig,https://liquipedia.net/dota2/Smulgullig,resolved_with_player_page_and_ids,high,65782028,76561198026047756 (derived),Smulgullig | smulgullig,smulgullig | smulg | Smulgullig,Johan Gidmark,,2,StarLadder StarSeries Season 1 | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_only,StarLadder StarSeries Season 1 | joinDOTA Masters I,
Sneyking,liquipedia_player_infobox.id,Sneyking,https://liquipedia.net/dota2/Sneyking,resolved_with_player_page_and_ids,high,10366616,76561197970632344 (derived),Sneyking,Sneyking,伍敬俊,Wu Jingjun,1,The Defense Season 1,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1,
Snoop,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Snoop,,,,1,The Defense Season 1,observed_name_only,primary_only,The Defense Season 1,
Snoopy,liquipedia_player_infobox.id,Snoopy,https://liquipedia.net/dota2/Snoopy,resolved_with_player_page_and_ids,high,87673729,76561198047939457 (derived),Snoopy,Snoopy,Trong Truong,,6,The Defense Season 1 | The Premier League Season 1 | Infused Cup | JeeDota2 Championship #1 | Dota2Replays Brawl | joinDOTA Masters IV,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,The Defense Season 1 | The Premier League Season 1 | Infused Cup | JeeDota2 Championship #1 | Dota2Replays Brawl | joinDOTA Masters IV,
Sockshka,liquipedia_player_infobox.id,Sockshka,https://liquipedia.net/dota2/Sockshka,resolved_with_player_page_and_ids,high,16769223,76561197977034951 (derived),Sockshka,Sockshka | PARIS,Titouan Merloz,,7,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | Dota2 Star Championship | JeeDota2 Championship #1 | joinDOTA Masters I,player_page_infobox | teamcard_account_id | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | JeeDota2 Championship #1 | joinDOTA Masters I,The International 2011 | Dota2 Star Championship
son1,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,son1,,,,2,Electronic Sports World Cup 2011 | The Defense Season 1,observed_name_only,primary_only,Electronic Sports World Cup 2011 | The Defense Season 1,
Steffstyle,liquipedia_player_infobox.id,Steffstyle,https://liquipedia.net/dota2/Steffstyle,resolved_with_player_page_and_ids,high,86664345,76561198046930073 (derived),Steffstyle,Steffstyle,Staffan Solin,,1,JeeDota2 Championship #1,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,JeeDota2 Championship #1,
Steva,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Steva,,,,1,The Defense Season 1,observed_name_only,primary_only,The Defense Season 1,
StOrm,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,StOrm,,,,2,D2E Challenge | joinDOTA Masters I,observed_name_only,primary_only,D2E Challenge | joinDOTA Masters I,
Subrandom,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Subrandom,,,,1,The Defense Season 1,observed_name_only,primary_only,The Defense Season 1,
suuuuu,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,suuuuu,,,,1,Malaysia Invitational,observed_name_only,primary_only,Malaysia Invitational,
syndereN,liquipedia_player_infobox.id,SyndereN,https://liquipedia.net/dota2/SyndereN,resolved_with_player_page_and_ids,high,4281729,76561197964547457 (derived),syndereN,syndereN | SyndereN,Troels Lyngholt Nielsen,,3,The International 2011 | The Defense Season 1 | DreamHack Winter 2011,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | DreamHack Winter 2011,The International 2011
Taku,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Taku,,,,1,The Defense Season 1,observed_name_only,primary_only,The Defense Season 1,
TC,liquipedia_player_infobox.id,TC,https://liquipedia.net/dota2/TC,resolved_with_player_page_and_ids,high,67601693,76561198027867421 (derived),TC,TC,Tyler Cook,,3,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,
Tha-,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Tha-,,,,2,WCG Asian Championship 2011 | Malaysia Invitational,observed_name_only,primary_only,WCG Asian Championship 2011 | Malaysia Invitational,
thegame,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,thegame,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
thisisART,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,thisisART,,,,1,Malaysia Invitational,observed_name_only,primary_only,Malaysia Invitational,
Tifa,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Tifa,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
Time,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Time,,,,1,Malaysia Invitational,observed_name_only,primary_only,Malaysia Invitational,
TnK,liquipedia_player_infobox.id,TnK,https://liquipedia.net/dota2/TnK,resolved_with_player_page_and_ids,high,45614257,76561198005879985 (derived),TnK,TnK,Trai Akaravinak,,4,The International 2011 | The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,The International 2011
ToFu,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,ToFu | Tofu,,,,2,The International 2011 | The Defense Season 1,teamcard_link | observed_name_only,primary_with_supplemental,The Defense Season 1,The International 2011
TooFuckingGood,liquipedia_player_infobox.id,TooFuckingGood,https://liquipedia.net/dota2/TooFuckingGood,resolved_with_player_page_and_ids,high,91143798,76561198051409526 (derived),TooFuckingGood,TooFuckingGood | TFG,,Daniel Wong Wei Khit,4,WCG Asian Championship 2011 | The Defense Season 1 | Malaysia Invitational | The Premier League Season 1,player_page_infobox | player_page_account_id,primary_only,WCG Asian Championship 2011 | The Defense Season 1 | Malaysia Invitational | The Premier League Season 1,
Trixi,liquipedia_player_infobox.id,Trixi,https://liquipedia.net/dota2/Trixi,resolved_with_player_page_and_ids,high,8712306,76561197968978034 (derived),Trixi,Trixi,Kalle Saarinen,,4,The Defense Season 1 | Dota2 Star Championship | Dota2Replays Brawl | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | Dota2Replays Brawl | joinDOTA Masters I,Dota2 Star Championship
Tulex,liquipedia_player_infobox.id,Tulex,https://liquipedia.net/dota2/Tulex,resolved_with_player_page_and_ids,high,9230085,76561197969495813 (derived),Tulex,Tulex,Michal Zima,,3,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1,The International 2011
Tung con,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Tung con,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
Tzar,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,32895399,76561197993161127 (derived),Tzar,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
Universe,liquipedia_player_infobox.id,Universe,https://liquipedia.net/dota2/Universe,resolved_with_player_page_and_ids,high,87276347,76561198047542075 (derived),UNiVeRsE,Universe | UNiVeRsE,Saahil Arora,,2,The International 2011 | The Defense Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1,The International 2011
Vigoss,liquipedia_player_infobox.id,Vigoss,https://liquipedia.net/dota2/Vigoss,resolved_with_player_page_and_ids,high,87219396,76561198047485124 (derived),Vigoss,Vigoss | vVv | Tratata,Иван Шинкарёв,Ivan Shinkarev,2,Electronic Sports World Cup 2011 | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_only,Electronic Sports World Cup 2011 | StarLadder StarSeries Season 1,
Ville,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,32032994,76561197992298722 (derived),Ville,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
Vinny,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Vinny,,,,2,Electronic Sports World Cup 2011 | DreamHack Winter 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011 | DreamHack Winter 2011,
Wagamama,liquipedia_player_infobox.id,Wagamama,https://liquipedia.net/dota2/Wagamama,resolved_with_player_page_and_ids,high,32995405,76561197993261133 (derived),Wagamama,Wagamama | Waga,Niklas Högström,,2,The Defense Season 1 | D2E Challenge,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1 | D2E Challenge,
walleater,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,88502795,76561198048768523 (derived),walleater,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
