canonical_handle,canonical_handle_source,liquipedia_page_title,liquipedia_url,resolution_status,resolution_confidence,account_ids,steam_ids,observed_names,liquipedia_handles,legal_names,romanized_names,tournament_count,tournaments,resolution_evidence,scope_role,primary_tournaments,supplemental_tournaments
asuna,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,asuna,,,,1,The Defense Season 1,teamcard_link | observed_name_only,primary_only,The Defense Season 1,
athraxxx,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,athraxxx,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
Atze,liquipedia_player_infobox.id,Atze,https://liquipedia.net/dota2/Atze,resolved_with_player_page_and_ids,high,20771881,76561197981037609 (derived),Atze,Atze,Marcel Binz,,1,JeeDota2 Championship #1,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,JeeDota2 Championship #1,
Away,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,71581150,76561198031846878 (derived),Away,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
Awoke,liquipedia_player_infobox.id,Awoke,https://liquipedia.net/dota2/Awoke,resolved_with_player_page_and_ids,high,86016761,76561198046282489 (derived),Awoke,Awoke | Qeki | haAaDes,叶靓,Ye Jing,2,The International 2011 | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_with_supplemental,joinDOTA Masters IV,The International 2011
ayschrenn,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86907802,76561198047173530 (derived),ayschrenn,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
B,liquipedia_player_infobox.id,B,https://liquipedia.net/dota2/B,resolved_with_player_page_and_ids,high,29904110,76561197990169838 (derived),bLeeK | B,B | bLeeK | chad,Scott Jensen,,3,The Defense Season 1 | JeeDota2 Championship #1 | joinDOTA Masters IV,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,The Defense Season 1 | JeeDota2 Championship #1 | joinDOTA Masters IV,
BABARR,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86895585,76561198047161313 (derived),BABARR,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
BABARRR,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,BABARRR,,,,1,Electronic Sports World Cup 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011,
BAJA-,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,58675374,76561198018941102 (derived),BAJA- | Baja,,,,4,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,observed_name_only | manual_override_account_id,primary_only,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,
